colonia,municipio,departamento,label_forza,alias_busqueda,fuente
POTONICO,Chalatenango Sur,Chalatenango,"POTONICO, Chalatenango Sur, Chalatenango",POTONICO,semilla_municipio_nuevo
SAN ANTONIO DE LA CRUZ,Chalatenango Sur,Chalatenango,"SAN ANTONIO DE LA CRUZ, Chalatenango Sur, Chalatenango",SAN ANTONIO DE LA CRUZ,semilla_municipio_nuevo
SAN ANTONIO LOS RANCHOS,Chalatenango Sur,Chalatenango,"SAN ANTONIO LOS RANCHOS, Chalatenango Sur, Chalatenango",SAN ANTONIO LOS RANCHOS,semilla_municipio_nuevo
SAN FRANCISCO LEMPA,Chalatenango Sur,Chalatenango,"SAN FRANCISCO LEMPA, Chalatenango Sur, Chalatenango",SAN FRANCISCO LEMPA,semilla_municipio_nuevo
SAN ISIDRO LABRADOR,Chalatenango Sur,Chalatenango,"SAN ISIDRO LABRADOR, Chalatenango Sur, Chalatenango",SAN ISIDRO LABRADOR,semilla_municipio_nuevo
SAN JOSÉ CANCASQUE,Chalatenango Sur,Chalatenango,"SAN JOSÉ CANCASQUE, Chalatenango Sur, Chalatenango",SAN JOSÉ CANCASQUE,semilla_municipio_nuevo
SAN JOSÉ LAS FLORES,Chalatenango Sur,Chalatenango,"SAN JOSÉ LAS FLORES, Chalatenango Sur, Chalatenango",SAN JOSÉ LAS FLORES,semilla_municipio_nuevo
SAN LUIS DEL CARMEN,Chalatenango Sur,Chalatenango,"SAN LUIS DEL CARMEN, Chalatenango Sur, Chalatenango",SAN LUIS DEL CARMEN,semilla_municipio_nuevo
SAN MIGUEL DE MERCEDES,Chalatenango Sur,Chalatenango,"SAN MIGUEL DE MERCEDES, Chalatenango Sur, Chalatenango",SAN MIGUEL DE MERCEDES,semilla_municipio_nuevo
CITALÁ,Citalá,Chalatenango,"CITALÁ, Citalá, Chalatenango",CITALÁ,semilla_distrito
COMALAPA,Comalapa,Chalatenango,"COMALAPA, Comalapa, Chalatenango",COMALAPA,semilla_distrito
CONCEPCIÓN QUEZALTEPEQUE,Concepción Quezaltepeque,Chalatenango,"CONCEPCIÓN QUEZALTEPEQUE, Concepción Quezaltepeque, Chalatenango",CONCEPCIÓN QUEZALTEPEQUE,semilla_distrito
DULCE NOMBRE DE MARÍA,Dulce Nombre de María,Chalatenango,"DULCE NOMBRE DE MARÍA, Dulce Nombre de María, Chalatenango",DULCE NOMBRE DE MARÍA,semilla_distrito
EL CARRIZAL,El Carrizal,Chalatenango,"EL CARRIZAL, El Carrizal, Chalatenango",EL CARRIZAL,semilla_distrito
EL PARAÍSO,El Paraíso,Chalatenango,"EL PARAÍSO, El Paraíso, Chalatenango",EL PARAÍSO,semilla_distrito
LA LAGUNA,La Laguna,Chalatenango,"LA LAGUNA, La Laguna, Chalatenango",LA LAGUNA,semilla_distrito
LA PALMA,La Palma,Chalatenango,"LA PALMA, La Palma, Chalatenango",LA PALMA,semilla_distrito
LA REINA,La Reina,Chalatenango,"LA REINA, La Reina, Chalatenango",LA REINA,semilla_distrito
LAS VUELTAS,Las Vueltas,Chalatenango,"LAS VUELTAS, Las Vueltas, Chalatenango",LAS VUELTAS,semilla_distrito
NOMBRE DE JESÚS,Nombre de Jesús,Chalatenango,"NOMBRE DE JESÚS, Nombre de Jesús, Chalatenango",NOMBRE DE JESÚS,semilla_distrito
NUEVA CONCEPCIÓN,Nueva Concepción,Chalatenango,"NUEVA CONCEPCIÓN, Nueva Concepción, Chalatenango",NUEVA CONCEPCIÓN,semilla_distrito
NUEVA TRINIDAD,Nueva Trinidad,Chalatenango,"NUEVA TRINIDAD, Nueva Trinidad, Chalatenango",NUEVA TRINIDAD,semilla_distrito
OJOS DE AGUA,Ojos de Agua,Chalatenango,"OJOS DE AGUA, Ojos de Agua, Chalatenango",OJOS DE AGUA,semilla_distrito
POTONICO,Potonico,Chalatenango,"POTONICO, Potonico, Chalatenango",POTONICO,semilla_distrito
SAN ANTONIO DE LA CRUZ,San Antonio de la Cruz,Chalatenango,"SAN ANTONIO DE LA CRUZ, San Antonio de la Cruz, Chalatenango",SAN ANTONIO DE LA CRUZ,semilla_distrito
SAN ANTONIO LOS RANCHOS,San Antonio Los Ranchos,Chalatenango,"SAN ANTONIO LOS RANCHOS, San Antonio Los Ranchos, Chalatenango",SAN ANTONIO LOS RANCHOS,semilla_distrito
SAN FERNANDO,San Fernando,Chalatenango,"SAN FERNANDO, San Fernando, Chalatenango",SAN FERNANDO,semilla_distrito
SAN FRANCISCO LEMPA,San Francisco Lempa,Chalatenango,"SAN FRANCISCO LEMPA, San Francisco Lempa, Chalatenango",SAN FRANCISCO LEMPA,semilla_distrito
SAN FRANCISCO MORAZÁN,San Francisco Morazán,Chalatenango,"SAN FRANCISCO MORAZÁN, San Francisco Morazán, Chalatenango",SAN FRANCISCO MORAZÁN,semilla_distrito
SAN IGNACIO,San Ignacio,Chalatenango,"SAN IGNACIO, San Ignacio, Chalatenango",SAN IGNACIO,semilla_distrito
SAN ISIDRO LABRADOR,San Isidro Labrador,Chalatenango,"SAN ISIDRO LABRADOR, San Isidro Labrador, Chalatenango",SAN ISIDRO LABRADOR,semilla_distrito
SAN JOSÉ CANCASQUE,San José Cancasque,Chalatenango,"SAN JOSÉ CANCASQUE, San José Cancasque, Chalatenango",SAN JOSÉ CANCASQUE,semilla_distrito
SAN JOSÉ LAS FLORES,San José Las Flores,Chalatenango,"SAN JOSÉ LAS FLORES, San José Las Flores, Chalatenango",SAN JOSÉ LAS FLORES,semilla_distrito
SAN LUIS DEL CARMEN,San Luis del Carmen,Chalatenango,"SAN LUIS DEL CARMEN, San Luis del Carmen, Chalatenango",SAN LUIS DEL CARMEN,semilla_distrito
SAN MIGUEL DE MERCEDES,San Miguel de Mercedes,Chalatenango,"SAN MIGUEL DE MERCEDES, San Miguel de Mercedes, Chalatenango",SAN MIGUEL DE MERCEDES,semilla_distrito
SAN RAFAEL,San Rafael,Chalatenango,"SAN RAFAEL, San Rafael, Chalatenango",SAN RAFAEL,semilla_distrito
SANTA RITA,Santa Rita,Chalatenango,"SANTA RITA, Santa Rita, Chalatenango",SANTA RITA,semilla_distrito
TEJUTLA,Tejutla,Chalatenango,"TEJUTLA, Tejutla, Chalatenango",TEJUTLA,semilla_distrito
CANDELARIA,Candelaria,Cuscatlán,"CANDELARIA, Candelaria, Cuscatlán",CANDELARIA,semilla_distrito
