colonia,municipio,departamento,label_forza,alias_busqueda,fuente
SAN RAFAEL ORIENTE,San Miguel Oeste,San Miguel,"SAN RAFAEL ORIENTE, San Miguel Oeste, San Miguel",SAN RAFAEL ORIENTE,semilla_municipio_nuevo
SAN RAFAEL ORIENTE,San Rafael Oriente,San Miguel,"SAN RAFAEL ORIENTE, San Rafael Oriente, San Miguel",SAN RAFAEL ORIENTE,semilla_distrito
SESORI,Sesori,San Miguel,"SESORI, Sesori, San Miguel",SESORI,semilla_distrito
ULUAZAPA,Uluazapa,San Miguel,"ULUAZAPA, Uluazapa, San Miguel",ULUAZAPA,semilla_distrito
AGUILARES,Aguilares,San Salvador,"AGUILARES, Aguilares, San Salvador",AGUILARES,semilla_distrito
APOPA,Apopa,San Salvador,"APOPA, Apopa, San Salvador",APOPA,semilla_distrito
AYUTUXTEPEQUE,Ayutuxtepeque,San Salvador,"AYUTUXTEPEQUE, Ayutuxtepeque, San Salvador",AYUTUXTEPEQUE,semilla_distrito
CIUDAD DELGADO,Ciudad Delgado,San Salvador,"CIUDAD DELGADO, Ciudad Delgado, San Salvador",CIUDAD DELGADO,semilla_distrito
EL ARENAL,Ciudad Delgado,San Salvador,"EL ARENAL, Ciudad Delgado, San Salvador",EL ARENAL,forza_confirmado
CUSCATANCINGO,Cuscatancingo,San Salvador,"CUSCATANCINGO, Cuscatancingo, San Salvador",CUSCATANCINGO,semilla_distrito
EL PAISNAL,El Paisnal,San Salvador,"EL PAISNAL, El Paisnal, San Salvador",EL PAISNAL,semilla_distrito
GUAZAPA,Guazapa,San Salvador,"GUAZAPA, Guazapa, San Salvador",GUAZAPA,semilla_distrito
ILOPANGO,Ilopango,San Salvador,"ILOPANGO, Ilopango, San Salvador",ILOPANGO,semilla_distrito
MEJICANOS,Mejicanos,San Salvador,"MEJICANOS, Mejicanos, San Salvador",MEJICANOS,semilla_distrito
NEJAPA,Nejapa,San Salvador,"NEJAPA, Nejapa, San Salvador",NEJAPA,semilla_distrito
PANCHIMALCO,Panchimalco,San Salvador,"PANCHIMALCO, Panchimalco, San Salvador",PANCHIMALCO,semilla_distrito
ROSARIO DE MORA,Rosario de Mora,San Salvador,"ROSARIO DE MORA, Rosario de Mora, San Salvador",ROSARIO DE MORA,semilla_distrito
SAN MARCOS,San Marcos,San Salvador,"SAN MARCOS, San Marcos, San Salvador",SAN MARCOS,semilla_distrito
SAN MARTÍN,San Martín,San Salvador,"SAN MARTÍN, San Martín, San Salvador",SAN MARTÍN,semilla_distrito
SAN SALVADOR,San Salvador,San Salvador,"SAN SALVADOR, San Salvador, San Salvador",SAN SALVADOR,semilla_distrito
AYUTUXTEPEQUE,San Salvador Centro,San Salvador,"AYUTUXTEPEQUE, San Salvador Centro, San Salvador",AYUTUXTEPEQUE,semilla_municipio_nuevo
CIUDAD DELGADO,San Salvador Centro,San Salvador,"CIUDAD DELGADO, San Salvador Centro, San Salvador",CIUDAD DELGADO,semilla_municipio_nuevo
CUSCATANCINGO,San Salvador Centro,San Salvador,"CUSCATANCINGO, San Salvador Centro, San Salvador",CUSCATANCINGO,semilla_municipio_nuevo
MEJICANOS,San Salvador Centro,San Salvador,"MEJICANOS, San Salvador Centro, San Salvador",MEJICANOS,semilla_municipio_nuevo
SAN SALVADOR,San Salvador Centro,San Salvador,"SAN SALVADOR, San Salvador Centro, San Salvador",SAN SALVADOR,semilla_municipio_nuevo
ILOPANGO,San Salvador Este,San Salvador,"ILOPANGO, San Salvador Este, San Salvador",ILOPANGO,semilla_municipio_nuevo
SAN MARTÍN,San Salvador Este,San Salvador,"SAN MARTÍN, San Salvador Este, San Salvador",SAN MARTÍN,semilla_municipio_nuevo
SOYAPANGO,San Salvador Este,San Salvador,"SOYAPANGO, San Salvador Este, San Salvador",SOYAPANGO,semilla_municipio_nuevo
TONACATEPEQUE,San Salvador Este,San Salvador,"TONACATEPEQUE, San Salvador Este, San Salvador",TONACATEPEQUE,semilla_municipio_nuevo
AGUILARES,San Salvador Norte,San Salvador,"AGUILARES, San Salvador Norte, San Salvador",AGUILARES,semilla_municipio_nuevo
EL PAISNAL,San Salvador Norte,San Salvador,"EL PAISNAL, San Salvador Norte, San Salvador",EL PAISNAL,semilla_municipio_nuevo
GUAZAPA,San Salvador Norte,San Salvador,"GUAZAPA, San Salvador Norte, San Salvador",GUAZAPA,semilla_municipio_nuevo
APOPA,San Salvador Oeste,San Salvador,"APOPA, San Salvador Oeste, San Salvador",APOPA,semilla_municipio_nuevo
NEJAPA,San Salvador Oeste,San Salvador,"NEJAPA, San Salvador Oeste, San Salvador",NEJAPA,semilla_municipio_nuevo
PANCHIMALCO,San Salvador Sur,San Salvador,"PANCHIMALCO, San Salvador Sur, San Salvador",PANCHIMALCO,semilla_municipio_nuevo
ROSARIO DE MORA,San Salvador Sur,San Salvador,"ROSARIO DE MORA, San Salvador Sur, San Salvador",ROSARIO DE MORA,semilla_municipio_nuevo
SAN MARCOS,San Salvador Sur,San Salvador,"SAN MARCOS, San Salvador Sur, San Salvador",SAN MARCOS,semilla_municipio_nuevo
SANTIAGO TEXACUANGOS,San Salvador Sur,San Salvador,"SANTIAGO TEXACUANGOS, San Salvador Sur, San Salvador",SANTIAGO TEXACUANGOS,semilla_municipio_nuevo
SANTO TOMÁS,San Salvador Sur,San Salvador,"SANTO TOMÁS, San Salvador Sur, San Salvador",SANTO TOMÁS,semilla_municipio_nuevo
SANTIAGO TEXACUANGOS,Santiago Texacuangos,San Salvador,"SANTIAGO TEXACUANGOS, Santiago Texacuangos, San Salvador",SANTIAGO TEXACUANGOS,semilla_distrito
SANTO TOMÁS,Santo Tomás,San Salvador,"SANTO TOMÁS, Santo Tomás, San Salvador",SANTO TOMÁS,semilla_distrito
SOYAPANGO,Soyapango,San Salvador,"SOYAPANGO, Soyapango, San Salvador",SOYAPANGO,semilla_distrito
TONACATEPEQUE,Tonacatepeque,San Salvador,"TONACATEPEQUE, Tonacatepeque, San Salvador",TONACATEPEQUE,semilla_distrito
APASTEPEQUE,Apastepeque,San Vicente,"APASTEPEQUE, Apastepeque, San Vicente",APASTEPEQUE,semilla_distrito
GUADALUPE,Guadalupe,San Vicente,"GUADALUPE, Guadalupe, San Vicente",GUADALUPE,semilla_distrito
SAN CAYETANO ISTEPEQUE,San Cayetano Istepeque,San Vicente,"SAN CAYETANO ISTEPEQUE, San Cayetano Istepeque, San Vicente",SAN CAYETANO ISTEPEQUE,semilla_distrito
SAN ESTEBAN CATARINA,San Esteban Catarina,San Vicente,"SAN ESTEBAN CATARINA, San Esteban Catarina, San Vicente",SAN ESTEBAN CATARINA,semilla_distrito
SAN ILDEFONSO,San Ildefonso,San Vicente,"SAN ILDEFONSO, San Ildefonso, San Vicente",SAN ILDEFONSO,semilla_distrito
SAN LORENZO,San Lorenzo,San Vicente,"SAN LORENZO, San Lorenzo, San Vicente",SAN LORENZO,semilla_distrito
SAN SEBASTIÁN,San Sebastián,San Vicente,"SAN SEBASTIÁN, San Sebastián, San Vicente",SAN SEBASTIÁN,semilla_distrito
SAN VICENTE,San Vicente,San Vicente,"SAN VICENTE, San Vicente, San Vicente",SAN VICENTE,semilla_distrito
APASTEPEQUE,San Vicente Norte,San Vicente,"APASTEPEQUE, San Vicente Norte, San Vicente",APASTEPEQUE,semilla_municipio_nuevo
SAN ESTEBAN CATARINA,San Vicente Norte,San Vicente,"SAN ESTEBAN CATARINA, San Vicente Norte, San Vicente",SAN ESTEBAN CATARINA,semilla_municipio_nuevo
SAN ILDEFONSO,San Vicente Norte,San Vicente,"SAN ILDEFONSO, San Vicente Norte, San Vicente",SAN ILDEFONSO,semilla_municipio_nuevo
SAN LORENZO,San Vicente Norte,San Vicente,"SAN LORENZO, San Vicente Norte, San Vicente",SAN LORENZO,semilla_municipio_nuevo
SAN SEBASTIÁN,San Vicente Norte,San Vicente,"SAN SEBASTIÁN, San Vicente Norte, San Vicente",SAN SEBASTIÁN,semilla_municipio_nuevo
SANTA CLARA,San Vicente Norte,San Vicente,"SANTA CLARA, San Vicente Norte, San Vicente",SANTA CLARA,semilla_municipio_nuevo
SANTO DOMINGO,San Vicente Norte,San Vicente,"SANTO DOMINGO, San Vicente Norte, San Vicente",SANTO DOMINGO,semilla_municipio_nuevo
GUADALUPE,San Vicente Sur,San Vicente,"GUADALUPE, San Vicente Sur, San Vicente",GUADALUPE,semilla_municipio_nuevo
SAN CAYETANO ISTEPEQUE,San Vicente Sur,San Vicente,"SAN CAYETANO ISTEPEQUE, San Vicente Sur, San Vicente",SAN CAYETANO ISTEPEQUE,semilla_municipio_nuevo
SAN VICENTE,San Vicente Sur,San Vicente,"SAN VICENTE, San Vicente Sur, San Vicente",SAN VICENTE,semilla_municipio_nuevo
TECOLUCA,San Vicente Sur,San Vicente,"TECOLUCA, San Vicente Sur, San Vicente",TECOLUCA,semilla_municipio_nuevo
TEPETITÁN,San Vicente Sur,San Vicente,"TEPETITÁN, San Vicente Sur, San Vicente",TEPETITÁN,semilla_municipio_nuevo
VERAPAZ,San Vicente Sur,San Vicente,"VERAPAZ, San Vicente Sur, San Vicente",VERAPAZ,semilla_municipio_nuevo
SANTA CLARA,Santa Clara,San Vicente,"SANTA CLARA, Santa Clara, San Vicente",SANTA CLARA,semilla_distrito
SANTO DOMINGO,Santo Domingo,San Vicente,"SANTO DOMINGO, Santo Domingo, San Vicente",SANTO DOMINGO,semilla_distrito
TECOLUCA,Tecoluca,San Vicente,"TECOLUCA, Tecoluca, San Vicente",TECOLUCA,semilla_distrito
TEPETITÁN,Tepetitán,San Vicente,"TEPETITÁN, Tepetitán, San Vicente",TEPETITÁN,semilla_distrito
VERAPAZ,Verapaz,San Vicente,"VERAPAZ, Verapaz, San Vicente",VERAPAZ,semilla_distrito
CANDELARIA DE LA FRONTERA,Candelaria de la Frontera,Santa Ana,"CANDELARIA DE LA FRONTERA, Candelaria de la Frontera, Santa Ana",CANDELARIA DE LA FRONTERA,semilla_distrito
CHALCHUAPA,Chalchuapa,Santa Ana,"CHALCHUAPA, Chalchuapa, Santa Ana",CHALCHUAPA,semilla_distrito
COATEPEQUE,Coatepeque,Santa Ana,"COATEPEQUE, Coatepeque, Santa Ana",COATEPEQUE,semilla_distrito
EL CONGO,El Congo,Santa Ana,"EL CONGO, El Congo, Santa Ana",EL CONGO,semilla_distrito
EL PORVENIR,El Porvenir,Santa Ana,"EL PORVENIR, El Porvenir, Santa Ana",EL PORVENIR,semilla_distrito
MASAHUAT,Masahuat,Santa Ana,"MASAHUAT, Masahuat, Santa Ana",MASAHUAT,semilla_distrito
METAPÁN,Metapán,Santa Ana,"METAPÁN, Metapán, Santa Ana",METAPÁN,semilla_distrito
SAN ANTONIO PAJONAL,San Antonio Pajonal,Santa Ana,"SAN ANTONIO PAJONAL, San Antonio Pajonal, Santa Ana",SAN ANTONIO PAJONAL,semilla_distrito
SAN SEBASTIÁN SALITRILLO,San Sebastián Salitrillo,Santa Ana,"SAN SEBASTIÁN SALITRILLO, San Sebastián Salitrillo, Santa Ana",SAN SEBASTIÁN SALITRILLO,semilla_distrito
SANTA ANA,Santa Ana,Santa Ana,"SANTA ANA, Santa Ana, Santa Ana",SANTA ANA,semilla_distrito
Santa Ana,Santa Ana Centro,Santa Ana,"Santa Ana, Santa Ana Centro, Santa Ana",Santa Ana,forza_confirmado
COATEPEQUE,Santa Ana Este,Santa Ana,"COATEPEQUE, Santa Ana Este, Santa Ana",COATEPEQUE,semilla_municipio_nuevo
EL CONGO,Santa Ana Este,Santa Ana,"EL CONGO, Santa Ana Este, Santa Ana",EL CONGO,semilla_municipio_nuevo
MASAHUAT,Santa Ana Norte,Santa Ana,"MASAHUAT, Santa Ana Norte, Santa Ana",MASAHUAT,semilla_municipio_nuevo
METAPÁN,Santa Ana Norte,Santa Ana,"METAPÁN, Santa Ana Norte, Santa Ana",METAPÁN,semilla_municipio_nuevo
SANTA ROSA GUACHIPILÍN,Santa Ana Norte,Santa Ana,"SANTA ROSA GUACHIPILÍN, Santa Ana Norte, Santa Ana",SANTA ROSA GUACHIPILÍN,semilla_municipio_nuevo
TEXISTEPEQUE,Santa Ana Norte,Santa Ana,"TEXISTEPEQUE, Santa Ana Norte, Santa Ana",TEXISTEPEQUE,semilla_municipio_nuevo
CANDELARIA DE LA FRONTERA,Santa Ana Oeste,Santa Ana,"CANDELARIA DE LA FRONTERA, Santa Ana Oeste, Santa Ana",CANDELARIA DE LA FRONTERA,semilla_municipio_nuevo
CHALCHUAPA,Santa Ana Oeste,Santa Ana,"CHALCHUAPA, Santa Ana Oeste, Santa Ana",CHALCHUAPA,semilla_municipio_nuevo
EL PORVENIR,Santa Ana Oeste,Santa Ana,"EL PORVENIR, Santa Ana Oeste, Santa Ana",EL PORVENIR,semilla_municipio_nuevo
SAN ANTONIO PAJONAL,Santa Ana Oeste,Santa Ana,"SAN ANTONIO PAJONAL, Santa Ana Oeste, Santa Ana",SAN ANTONIO PAJONAL,semilla_municipio_nuevo
SAN SEBASTIÁN SALITRILLO,Santa Ana Oeste,Santa Ana,"SAN SEBASTIÁN SALITRILLO, Santa Ana Oeste, Santa Ana",SAN SEBASTIÁN SALITRILLO,semilla_municipio_nuevo
SANTIAGO DE LA FRONTERA,Santa Ana Oeste,Santa Ana,"SANTIAGO DE LA FRONTERA, Santa Ana Oeste, Santa Ana",SANTIAGO DE LA FRONTERA,semilla_municipio_nuevo
SANTA ROSA GUACHIPILÍN,Santa Rosa Guachipilín,Santa Ana,"SANTA ROSA GUACHIPILÍN, Santa Rosa Guachipilín, Santa Ana",SANTA ROSA GUACHIPILÍN,semilla_distrito
SANTIAGO DE LA FRONTERA,Santiago de La Frontera,Santa Ana,"SANTIAGO DE LA FRONTERA, Santiago de La Frontera, Santa Ana",SANTIAGO DE LA FRONTERA,semilla_distrito
TEXISTEPEQUE,Texistepeque,Santa Ana,"TEXISTEPEQUE, Texistepeque, Santa Ana",TEXISTEPEQUE,semilla_distrito
ACAJUTLA,Acajutla,Sonsonate,"ACAJUTLA, Acajutla, Sonsonate",ACAJUTLA,semilla_distrito
ARMENIA,Armenia,Sonsonate,"ARMENIA, Armenia, Sonsonate",ARMENIA,semilla_distrito
CALUCO,Caluco,Sonsonate,"CALUCO, Caluco, Sonsonate",CALUCO,semilla_distrito
CUISNAHUAT,Cuisnahuat,Sonsonate,"CUISNAHUAT, Cuisnahuat, Sonsonate",CUISNAHUAT,semilla_distrito
IZALCO,Izalco,Sonsonate,"IZALCO, Izalco, Sonsonate",IZALCO,semilla_distrito
JUAYÚA,Juayúa,Sonsonate,"JUAYÚA, Juayúa, Sonsonate",JUAYÚA,semilla_distrito
NAHUIZALCO,Nahuizalco,Sonsonate,"NAHUIZALCO, Nahuizalco, Sonsonate",NAHUIZALCO,semilla_distrito
NAHULINGO,Nahulingo,Sonsonate,"NAHULINGO, Nahulingo, Sonsonate",NAHULINGO,semilla_distrito
SALCOATITÁN,Salcoatitán,Sonsonate,"SALCOATITÁN, Salcoatitán, Sonsonate",SALCOATITÁN,semilla_distrito
SAN ANTONIO DEL MONTE,San Antonio del Monte,Sonsonate,"SAN ANTONIO DEL MONTE, San Antonio del Monte, Sonsonate",SAN ANTONIO DEL MONTE,semilla_distrito
SAN JULIÁN,San Julián,Sonsonate,"SAN JULIÁN, San Julián, Sonsonate",SAN JULIÁN,semilla_distrito
SANTA CATARINA MASAHUAT,Santa Catarina Masahuat,Sonsonate,"SANTA CATARINA MASAHUAT, Santa Catarina Masahuat, Sonsonate",SANTA CATARINA MASAHUAT,semilla_distrito
SANTA ISABEL ISHUATÁN,Santa Isabel Ishuatán,Sonsonate,"SANTA ISABEL ISHUATÁN, Santa Isabel Ishuatán, Sonsonate",SANTA ISABEL ISHUATÁN,semilla_distrito
SANTO DOMINGO DE GUZMÁN,Santo Domingo de Guzmán,Sonsonate,"SANTO DOMINGO DE GUZMÁN, Santo Domingo de Guzmán, Sonsonate",SANTO DOMINGO DE GUZMÁN,semilla_distrito
SONSONATE,Sonsonate,Sonsonate,"SONSONATE, Sonsonate, Sonsonate",SONSONATE,semilla_distrito
NAHULINGO,Sonsonate Centro,Sonsonate,"NAHULINGO, Sonsonate Centro, Sonsonate",NAHULINGO,semilla_municipio_nuevo
SAN ANTONIO DEL MONTE,Sonsonate Centro,Sonsonate,"SAN ANTONIO DEL MONTE, Sonsonate Centro, Sonsonate",SAN ANTONIO DEL MONTE,semilla_municipio_nuevo
SANTO DOMINGO DE GUZMÁN,Sonsonate Centro,Sonsonate,"SANTO DOMINGO DE GUZMÁN, Sonsonate Centro, Sonsonate",SANTO DOMINGO DE GUZMÁN,semilla_municipio_nuevo
SONSONATE,Sonsonate Centro,Sonsonate,"SONSONATE, Sonsonate Centro, Sonsonate",SONSONATE,semilla_municipio_nuevo
SONZACATE,Sonsonate Centro,Sonsonate,"SONZACATE, Sonsonate Centro, Sonsonate",SONZACATE,semilla_municipio_nuevo
ARMENIA,Sonsonate Este,Sonsonate,"ARMENIA, Sonsonate Este, Sonsonate",ARMENIA,semilla_municipio_nuevo
CALUCO,Sonsonate Este,Sonsonate,"CALUCO, Sonsonate Este, Sonsonate",CALUCO,semilla_municipio_nuevo
CUISNAHUAT,Sonsonate Este,Sonsonate,"CUISNAHUAT, Sonsonate Este, Sonsonate",CUISNAHUAT,semilla_municipio_nuevo
IZALCO,Sonsonate Este,Sonsonate,"IZALCO, Sonsonate Este, Sonsonate",IZALCO,semilla_municipio_nuevo
SAN JULIÁN,Sonsonate Este,Sonsonate,"SAN JULIÁN, Sonsonate Este, Sonsonate",SAN JULIÁN,semilla_municipio_nuevo
SANTA ISABEL ISHUATÁN,Sonsonate Este,Sonsonate,"SANTA ISABEL ISHUATÁN, Sonsonate Este, Sonsonate",SANTA ISABEL ISHUATÁN,semilla_municipio_nuevo
JUAYÚA,Sonsonate Norte,Sonsonate,"JUAYÚA, Sonsonate Norte, Sonsonate",JUAYÚA,semilla_municipio_nuevo
NAHUIZALCO,Sonsonate Norte,Sonsonate,"NAHUIZALCO, Sonsonate Norte, Sonsonate",NAHUIZALCO,semilla_municipio_nuevo
SALCOATITÁN,Sonsonate Norte,Sonsonate,"SALCOATITÁN, Sonsonate Norte, Sonsonate",SALCOATITÁN,semilla_municipio_nuevo
SANTA CATARINA MASAHUAT,Sonsonate Norte,Sonsonate,"SANTA CATARINA MASAHUAT, Sonsonate Norte, Sonsonate",SANTA CATARINA MASAHUAT,semilla_municipio_nuevo
ACAJUTLA,Sonsonate Oeste,Sonsonate,"ACAJUTLA, Sonsonate Oeste, Sonsonate",ACAJUTLA,semilla_municipio_nuevo
SONZACATE,Sonzacate,Sonsonate,"SONZACATE, Sonzacate, Sonsonate",SONZACATE,semilla_distrito
ALEGRÍA,Alegría,Usulután,"ALEGRÍA, Alegría, Usulután",ALEGRÍA,semilla_distrito
BERLÍN,Berlín,Usulután,"BERLÍN, Berlín, Usulután",BERLÍN,semilla_distrito
CALIFORNIA,California,Usulután,"CALIFORNIA, California, Usulután",CALIFORNIA,semilla_distrito
CONCEPCIÓN BATRES,Concepción Batres,Usulután,"CONCEPCIÓN BATRES, Concepción Batres, Usulután",CONCEPCIÓN BATRES,semilla_distrito
EL TRIUNFO,El Triunfo,Usulután,"EL TRIUNFO, El Triunfo, Usulután",EL TRIUNFO,semilla_distrito
EREGUAYQUÍN,Ereguayquín,Usulután,"EREGUAYQUÍN, Ereguayquín, Usulután",EREGUAYQUÍN,semilla_distrito
ESTANZUELAS,Estanzuelas,Usulután,"ESTANZUELAS, Estanzuelas, Usulután",ESTANZUELAS,semilla_distrito
JIQUILISCO,Jiquilisco,Usulután,"JIQUILISCO, Jiquilisco, Usulután",JIQUILISCO,semilla_distrito
JUCUAPA,Jucuapa,Usulután,"JUCUAPA, Jucuapa, Usulután",JUCUAPA,semilla_distrito
JUCUARÁN,Jucuarán,Usulután,"JUCUARÁN, Jucuarán, Usulután",JUCUARÁN,semilla_distrito
MERCEDES UMAÑA,Mercedes Umaña,Usulután,"MERCEDES UMAÑA, Mercedes Umaña, Usulután",MERCEDES UMAÑA,semilla_distrito
NUEVA GRANADA,Nueva Granada,Usulután,"NUEVA GRANADA, Nueva Granada, Usulután",NUEVA GRANADA,semilla_distrito
OZATLÁN,Ozatlán,Usulután,"OZATLÁN, Ozatlán, Usulután",OZATLÁN,semilla_distrito
PUERTO EL TRIUNFO,Puerto El Triunfo,Usulután,"PUERTO EL TRIUNFO, Puerto El Triunfo, Usulután",PUERTO EL TRIUNFO,semilla_distrito
SAN AGUSTÍN,San Agustín,Usulután,"SAN AGUSTÍN, San Agustín, Usulután",SAN AGUSTÍN,semilla_distrito
SAN BUENAVENTURA,San Buenaventura,Usulután,"SAN BUENAVENTURA, San Buenaventura, Usulután",SAN BUENAVENTURA,semilla_distrito
SAN DIONISIO,San Dionisio,Usulután,"SAN DIONISIO, San Dionisio, Usulután",SAN DIONISIO,semilla_distrito
SAN FRANCISCO JAVIER,San Francisco Javier,Usulután,"SAN FRANCISCO JAVIER, San Francisco Javier, Usulután",SAN FRANCISCO JAVIER,semilla_distrito
SANTA ELENA,Santa Elena,Usulután,"SANTA ELENA, Santa Elena, Usulután",SANTA ELENA,semilla_distrito
SANTA MARÍA,Santa María,Usulután,"SANTA MARÍA, Santa María, Usulután",SANTA MARÍA,semilla_distrito
SANTIAGO DE MARÍA,Santiago de María,Usulután,"SANTIAGO DE MARÍA, Santiago de María, Usulután",SANTIAGO DE MARÍA,semilla_distrito
TECAPÁN,Tecapán,Usulután,"TECAPÁN, Tecapán, Usulután",TECAPÁN,semilla_distrito
USULUTÁN,Usulután,Usulután,"USULUTÁN, Usulután, Usulután",USULUTÁN,semilla_distrito
CALIFORNIA,Usulután Este,Usulután,"CALIFORNIA, Usulután Este, Usulután",CALIFORNIA,semilla_municipio_nuevo
CONCEPCIÓN BATRES,Usulután Este,Usulután,"CONCEPCIÓN BATRES, Usulután Este, Usulután",CONCEPCIÓN BATRES,semilla_municipio_nuevo
EREGUAYQUÍN,Usulután Este,Usulután,"EREGUAYQUÍN, Usulután Este, Usulután",EREGUAYQUÍN,semilla_municipio_nuevo
JUCUARÁN,Usulután Este,Usulután,"JUCUARÁN, Usulután Este, Usulután",JUCUARÁN,semilla_municipio_nuevo
OZATLÁN,Usulután Este,Usulután,"OZATLÁN, Usulután Este, Usulután",OZATLÁN,semilla_municipio_nuevo
SAN DIONISIO,Usulután Este,Usulután,"SAN DIONISIO, Usulután Este, Usulután",SAN DIONISIO,semilla_municipio_nuevo
SANTA ELENA,Usulután Este,Usulután,"SANTA ELENA, Usulután Este, Usulután",SANTA ELENA,semilla_municipio_nuevo
SANTA MARÍA,Usulután Este,Usulután,"SANTA MARÍA, Usulután Este, Usulután",SANTA MARÍA,semilla_municipio_nuevo
TECAPÁN,Usulután Este,Usulután,"TECAPÁN, Usulután Este, Usulután",TECAPÁN,semilla_municipio_nuevo
USULUTÁN,Usulután Este,Usulután,"USULUTÁN, Usulután Este, Usulután",USULUTÁN,semilla_municipio_nuevo
ALEGRÍA,Usulután Norte,Usulután,"ALEGRÍA, Usulután Norte, Usulután",ALEGRÍA,semilla_municipio_nuevo
BERLÍN,Usulután Norte,Usulután,"BERLÍN, Usulután Norte, Usulután",BERLÍN,semilla_municipio_nuevo
EL TRIUNFO,Usulután Norte,Usulután,"EL TRIUNFO, Usulután Norte, Usulután",EL TRIUNFO,semilla_municipio_nuevo
ESTANZUELAS,Usulután Norte,Usulután,"ESTANZUELAS, Usulután Norte, Usulután",ESTANZUELAS,semilla_municipio_nuevo
JUCUAPA,Usulután Norte,Usulután,"JUCUAPA, Usulután Norte, Usulután",JUCUAPA,semilla_municipio_nuevo
MERCEDES UMAÑA,Usulután Norte,Usulután,"MERCEDES UMAÑA, Usulután Norte, Usulután",MERCEDES UMAÑA,semilla_municipio_nuevo
NUEVA GRANADA,Usulután Norte,Usulután,"NUEVA GRANADA, Usulután Norte, Usulután",NUEVA GRANADA,semilla_municipio_nuevo
SAN BUENAVENTURA,Usulután Norte,Usulután,"SAN BUENAVENTURA, Usulután Norte, Usulután",SAN BUENAVENTURA,semilla_municipio_nuevo
SANTIAGO DE MARÍA,Usulután Norte,Usulután,"SANTIAGO DE MARÍA, Usulután Norte, Usulután",SANTIAGO DE MARÍA,semilla_municipio_nuevo
JIQUILISCO,Usulután Oeste,Usulután,"JIQUILISCO, Usulután Oeste, Usulután",JIQUILISCO,semilla_municipio_nuevo
PUERTO EL TRIUNFO,Usulután Oeste,Usulután,"PUERTO EL TRIUNFO, Usulután Oeste, Usulután",PUERTO EL TRIUNFO,semilla_municipio_nuevo
SAN AGUSTÍN,Usulután Oeste,Usulután,"SAN AGUSTÍN, Usulután Oeste, Usulután",SAN AGUSTÍN,semilla_municipio_nuevo
SAN FRANCISCO JAVIER,Usulután Oeste,Usulután,"SAN FRANCISCO JAVIER, Usulután Oeste, Usulután",SAN FRANCISCO JAVIER,semilla_municipio_nuevo
LOS AMATES,San Juan Opico,La Libertad,"LOS AMATES, San Juan Opico, La Libertad",LOS AMATES,manual
CANTON LOS AMATES,San Juan Opico,La Libertad,"CANTON LOS AMATES, San Juan Opico, La Libertad",LOS AMATES,manual
